epoch,accuracy,loss,val_accuracy,val_loss
0,0.0003000000142492354,0.06241419166326523,NA,NA
1,0.0003000000142492354,0.038432274013757706,NA,NA
2,0.0003000000142492354,0.03196621313691139,NA,NA
3,0.0003000000142492354,0.028001153841614723,NA,NA
4,0.0003000000142492354,0.02605714648962021,NA,NA
5,0.0003000000142492354,0.024378012865781784,NA,NA
6,0.0003000000142492354,0.022786004468798637,NA,NA
7,0.0003000000142492354,0.020333420485258102,NA,NA
8,0.0003000000142492354,0.019010396674275398,NA,NA
9,0.0003000000142492354,0.01649598963558674,NA,NA
10,0.0003000000142492354,0.015176826156675816,NA,NA
11,0.0003000000142492354,0.013375738635659218,NA,NA
12,0.0003000000142492354,0.011974150314927101,NA,NA
13,0.0003000000142492354,0.010759938508272171,NA,NA
14,0.0003000000142492354,0.009087566286325455,NA,NA
15,0.0003000000142492354,0.008532864041626453,NA,NA
16,0.0003000000142492354,0.006963836494833231,NA,NA
17,0.0003000000142492354,0.006718132179230452,NA,NA
18,0.0003000000142492354,0.006109559442847967,NA,NA
19,0.0003000000142492354,0.006048658397048712,NA,NA
20,0.0003000000142492354,0.004558107815682888,NA,NA
21,0.0003000000142492354,0.0048830583691596985,NA,NA
22,0.0003000000142492354,0.003937925677746534,NA,NA
23,0.0003000000142492354,0.003032583510503173,NA,NA
24,0.0003000000142492354,0.0021646798122674227,NA,NA
25,0.0003000000142492354,0.003011855063959956,NA,NA
26,0.0003000000142492354,0.002222687704488635,NA,NA
27,0.0003000000142492354,0.002207455225288868,NA,NA
28,0.0003000000142492354,0.002360763493925333,NA,NA
29,0.0003000000142492354,0.0024576170835644007,NA,NA
30,0.0003000000142492354,0.0021584187634289265,NA,NA
31,0.0003000000142492354,0.001954097067937255,NA,NA
32,0.0003000000142492354,0.0018022878793999553,NA,NA
33,0.0003000000142492354,0.0016859876923263073,NA,NA
34,0.0003000000142492354,0.0017802936490625143,NA,NA
35,0.0003000000142492354,0.002024737885221839,NA,NA
36,0.0003000000142492354,0.001668328302912414,NA,NA
37,0.0003000000142492354,0.002114627044647932,NA,NA
38,0.0003000000142492354,0.0016041438793763518,NA,NA
